probability_model,tail_model,price_model,target_market,n_races,n_years,median_tv,mean_tv,median_mae,median_log_rmse,median_js,median_raw_mae,mean_support_share,all_arguments_supported_race_share,median_common_tv,median_common_log_rmse,median_trimmed_tv,median_trimmed_log_rmse,mean_common_support_share
harville,isotonic_clip,M-R,exacta,18720,8,0.16661011506185813,0.17533361035757117,0.00337290569292689,0.8549249841401476,0.025661046834913583,0.0046207092745500465,0.6259816619752517,0.019658119658119658,0.1303010431695632,0.4744821695957485,0.15403216089371957,0.6878641151057356,0.6023404669879029
harville,isotonic_clip,M-R,quinella,19286,8,0.11720607636162012,0.12591729103972843,0.004648274121859827,0.5471259305621466,0.012463325781807949,0.006368237102976373,0.7345264793452598,0.06979155864357565,0.1057404400019783,0.34350494930558717,0.11115815408650595,0.4170701709943674,0.7056077595938117
harville,isotonic_clip,M-R,trifecta,3323,8,0.31298805322971346,0.30865022805730086,0.0013256813689093365,1.087113629808257,0.07453680478695054,0.001815915013913916,0.32775104989971077,0.0006018657839301836,0.17743001748140547,0.5148502046347772,0.2883350796581261,0.9482657620252034,0.30371252071899074
harville,isotonic_clip,M-R,trio,15864,8,0.18633658527443908,0.19340671371941548,0.0027944595041566227,0.9457132180600102,0.03248605892444027,0.003827631387398843,0.4950209470727625,0.005231971759959657,0.12781660829679423,0.37384215901921236,0.1714648607702658,0.7534968162442788,0.4248522657372884
harville,isotonic_clip,M-S2,exacta,18720,8,0.12185718399137241,0.13164981727735336,0.0024885879600507884,0.48796136863520867,0.012346847086067564,0.0034093795733034474,0.9658523820523021,0.7498931623931624,0.11786354501626572,0.38084947715445344,0.12105265531107207,0.458880296009464,0.6023404669879029
harville,isotonic_clip,M-S2,quinella,19286,8,0.11823382351831113,0.127092880146986,0.004777662545527304,0.49034185808121733,0.011293141652838914,0.006546112875824141,0.9534666314247358,0.7316706419164161,0.11414041417028586,0.36166640635190084,0.11736847573099995,0.4483967392714563,0.7056077595938117
harville,isotonic_clip,M-S2,trifecta,3323,8,0.1520291496992312,0.16453030412867714,0.0006492463898885041,0.4390915193815297,0.018101224908727735,0.0008893542236128936,0.8949572299670103,0.13331327114053565,0.14338417171970033,0.40017055168485277,0.15166875658032297,0.43522856287864425,0.30371252071899074
harville,isotonic_clip,M-S2,trio,15864,8,0.1416643270956109,0.15202066676696957,0.002195982818682993,0.4954482586277239,0.016288322442155168,0.0030089505227108523,0.5029506156349954,0.02931164901664145,0.12739393625222722,0.36379609491603176,0.1401778488401271,0.46996315772648184,0.4248522657372884
harville,isotonic_clip,M-S3,trifecta,3323,8,0.1742274327876419,0.1861478039823553,0.000764214561646477,0.6718943457252268,0.024520507912315543,0.0010468708602118157,0.9693079281704019,0.7020764369545591,0.15466519617384283,0.438319232789208,0.17311018756548502,0.6374309224699851,0.30371252071899074
harville,isotonic_clip,M-S3,trio,15864,8,0.1662890241319958,0.1763187666399287,0.0026286922528966413,0.8278593713248219,0.022429407135545296,0.0036009187412677332,0.9407045000511339,0.6016767523953606,0.1427758773830969,0.41560029279761856,0.1649650446908013,0.7385745471560784,0.4248522657372884
harville,none,raw_harville,exacta,18720,8,0.12059826905443849,0.13067501051749147,0.0024627118128790182,0.4861640464191248,0.012066167247403031,0.00337362570805375,1.0,1.0,0.11845767805552243,0.38982598873506197,0.1199157558962223,0.45582862092697274,0.6828983179243596
harville,none,raw_harville,quinella,19286,8,0.11780601173684921,0.12709036281244784,0.0047712769381329165,0.49415701683164515,0.01132896186154275,0.006537346748424882,1.0,1.0,0.11412873138941729,0.38613418607254835,0.11694142777196252,0.4509685555887014,0.7915021832189726
harville,none,raw_harville,trifecta,3323,8,0.17229911746037607,0.18399157322809334,0.0007493864225666021,0.6737403839513169,0.023997293926909514,0.0010265340867383777,1.0,1.0,0.15510351500316732,0.44683232705160963,0.17119412206833007,0.6347996147747811,0.3714115543900377
harville,none,raw_harville,trio,15864,8,0.16365405387687026,0.17354827912170903,0.002591108315987401,0.8326815630450832,0.0219811397211628,0.003549475005867141,1.0,1.0,0.15042153359329274,0.4931369733379917,0.16220072806382488,0.7401605798103887,0.603905233907125
harville,power,M-R,exacta,18720,8,0.2606720674520049,0.2675754748560707,0.005234952883213316,0.9328457043169989,0.049051373138421124,0.007171239156173414,0.6259816619752517,0.019658119658119658,0.2245900126014636,0.7156829849157867,0.25471438969798554,0.868762296590477,0.6023404669879029
