probability_model,tail_model,target_market,baseline_model,challenger_model,loss,n_races,n_race_dates,n_years,median_loss_reduction,mean_loss_reduction,bootstrap_median_ci_lower,bootstrap_median_ci_upper,challenger_better_race_share,years_with_positive_median,minimum_year_median_reduction,maximum_year_median_reduction
stage_temperature,isotonic_clip,exacta,M-R,M-S2,js,18720,1130,8,0.01808036709406845,0.020496774279642225,0.01772640786664622,0.018464536689356856,0.9870726495726496,8,0.0149111073932865,0.027806716435311536
stage_temperature,isotonic_clip,exacta,M-R,M-S2,log_rmse,18720,1130,8,0.45805273770691624,0.5010119992858341,0.4489529019772963,0.46649485770381927,0.9886217948717949,8,0.38885257654934574,0.6858587216153762
stage_temperature,isotonic_clip,exacta,M-R,M-S2,tv,18720,1130,8,0.072825937515207,0.07545867361378569,0.0717169567668439,0.07402300673685518,0.9844017094017095,8,0.06557151225401611,0.09621621651265365
stage_temperature,power,exacta,M-R,M-S2,js,18720,1130,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,exacta,M-R,M-S2,log_rmse,18720,1130,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,power,exacta,M-R,M-S2,tv,18720,1130,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
stage_temperature,prelec,exacta,M-R,M-S2,js,18720,1130,8,0.03275221130641684,0.033131001432219455,0.03239907256282641,0.03311714679909625,0.9767628205128205,8,0.029561453458487274,0.03743526358575988
stage_temperature,prelec,exacta,M-R,M-S2,log_rmse,18720,1130,8,0.5193390814574915,0.512548346948913,0.5143725609182108,0.5252886473545939,0.9683760683760684,8,0.4781503130393605,0.5800200890662626
stage_temperature,prelec,exacta,M-R,M-S2,tv,18720,1130,8,0.12307094722396585,0.1196220939521326,0.12204072322690102,0.1244463888986364,0.9765491452991453,8,0.11645677137863976,0.13520113537624137
stage_temperature,isotonic_clip,quinella,M-R,M-S2,js,19286,1130,8,0.005273111454370144,0.006128300640686201,0.005125380291013988,0.005421770327288177,0.8863942756403609,8,0.003975418168082954,0.008728104335016904
stage_temperature,isotonic_clip,quinella,M-R,M-S2,log_rmse,19286,1130,8,0.21348065390691845,0.24894699288594208,0.20820801930844968,0.2197221617556095,0.9022088561650938,8,0.16419833068466416,0.36417911639718936
stage_temperature,isotonic_clip,quinella,M-R,M-S2,tv,19286,1130,8,0.02359823916408043,0.02448228003620497,0.02299147088924127,0.024261487989293656,0.8621279684745411,8,0.018856588474901126,0.030850962593420392
stage_temperature,power,quinella,M-R,M-S2,js,19286,1130,8,0.0003278065375109905,0.0002474131319519737,0.0003165916587895695,0.00033725712345776814,0.7419890075702582,8,0.00026791922427148174,0.00045469791747140137
stage_temperature,power,quinella,M-R,M-S2,log_rmse,19286,1130,8,-9.748286066468825e-05,-0.004610638683746337,-0.00016898808367133144,-1.5718840490058835e-05,0.49118531577309965,4,-0.0007099691024571309,0.000430189048370222
stage_temperature,power,quinella,M-R,M-S2,tv,19286,1130,8,0.0009641509765987433,0.0006222693499218675,0.0009270561170030833,0.000996521008663817,0.7164264233122473,8,0.0008088805982122138,0.0013172545110200495
stage_temperature,prelec,quinella,M-R,M-S2,js,19286,1130,8,0.012977016593671568,0.01108951479803173,0.012717273155440783,0.01326374564114785,0.824172975215182,8,0.01146671705523114,0.01581031376405575
