target_market,baseline_model,challenger_model,loss,n_races,median_loss_reduction,bootstrap_median_ci_lower,bootstrap_median_ci_upper,years_with_positive_median,n_years
exacta,M-R,M-S2,common_tv,18698,0.09236214980565022,0.09141420718745238,0.09326491481269297,8,8
exacta,M-R,M-S2,trimmed_tv,18703,0.11380518974074497,0.11259498738137019,0.11508957165698784,8,8
exacta,M-R,M-S2,tv,18703,0.12302447070132984,0.12200005989589777,0.12425468562261914,8,8
exacta,discounted_harville,M-S2,common_tv,18698,-0.018688758028577036,-0.019142727665308088,-0.018188038483483975,0,8
exacta,discounted_harville,M-S2,trimmed_tv,18703,-0.01940833393934986,-0.01988487839496219,-0.01889989699678393,0,8
exacta,discounted_harville,M-S2,tv,18703,-0.019873367883838616,-0.0203905766795545,-0.019411177428308786,0,8
exacta,raw_harville,M-S2,common_tv,18698,-0.005392710820014496,-0.005904799525742816,-0.0048637647614208634,0,8
exacta,raw_harville,M-S2,trimmed_tv,18703,-0.004972638426760365,-0.005472390319758238,-0.004507617850297567,1,8
exacta,raw_harville,M-S2,tv,18703,-0.005380966781200647,-0.005879175205789441,-0.00481874852164429,0,8
quinella,M-R,M-S2,common_tv,19269,0.04761653099458449,0.04660859583481155,0.048692014347699625,8,8
quinella,M-R,M-S2,trimmed_tv,19269,0.04674480442192222,0.045328371767020544,0.048233675948160325,8,8
quinella,M-R,M-S2,tv,19269,0.055725286200519586,0.05440907067255267,0.05694946745465147,8,8
quinella,discounted_harville,M-S2,common_tv,19269,-0.021968971193154913,-0.022417549168458176,-0.021491155437680067,0,8
quinella,discounted_harville,M-S2,trimmed_tv,19269,-0.024556712098944833,-0.02511501986935142,-0.02407641357536093,0,8
quinella,discounted_harville,M-S2,tv,19269,-0.024838448443451844,-0.025317624028330713,-0.02436820437998177,0,8
quinella,raw_harville,M-S2,common_tv,19269,-0.010686206536923773,-0.011200771780443491,-0.010175532642939132,0,8
quinella,raw_harville,M-S2,trimmed_tv,19269,-0.01245956158153061,-0.012925626716283153,-0.01199661884894064,0,8
quinella,raw_harville,M-S2,tv,19269,-0.012531407233356287,-0.013020698058927157,-0.012054373591325752,0,8
trifecta,M-R,M-S3,common_tv,3291,0.08150997804667406,0.07980843413740334,0.08379197577521623,8,8
trifecta,M-R,M-S3,trimmed_tv,3321,0.14520693094351445,0.14295780244453613,0.1471079917285116,8,8
trifecta,M-R,M-S3,tv,3321,0.15544545188150596,0.15321816586983703,0.15751521298388682,8,8
trifecta,discounted_harville,M-S3,common_tv,3291,-0.0030792514211147037,-0.003582929257978207,-0.0026810114728988994,0,8
trifecta,discounted_harville,M-S3,trimmed_tv,3321,-0.0071535371632792805,-0.007587116005253275,-0.006658559643531589,0,8
trifecta,discounted_harville,M-S3,tv,3321,-0.00739448046569352,-0.008047758254009756,-0.0069284958374689065,0,8
trifecta,raw_harville,M-S3,common_tv,3291,0.007382036617798238,0.006506188921608702,0.008261515674583827,8,8
trifecta,raw_harville,M-S3,trimmed_tv,3321,0.01425251394332433,0.013254534531618298,0.015385939379103408,8,8
trifecta,raw_harville,M-S3,tv,3321,0.014882554145246085,0.01376296207751837,0.015859697936970008,8,8
trio,M-R,M-S3,common_tv,15820,0.08557509199172846,0.08427235301483132,0.08678207928701431,8,8
trio,M-R,M-S3,trimmed_tv,15850,0.11201503141452426,0.11071196143625467,0.11339715079270653,8,8
trio,M-R,M-S3,tv,15850,0.12134819377362045,0.12007108561374696,0.12272461215718751,8,8
trio,discounted_harville,M-S3,common_tv,15820,-0.016826893527626625,-0.017286488529300707,-0.016458547746338422,0,8
trio,discounted_harville,M-S3,trimmed_tv,15850,-0.019832048816013775,-0.020179965467174946,-0.019297780546908436,0,8
trio,discounted_harville,M-S3,tv,15850,-0.01994314965644927,-0.020325512439399895,-0.019577717841173518,0,8
trio,raw_harville,M-S3,common_tv,15820,0.005365735579154117,0.004547490025599908,0.006171025831005658,8,8
trio,raw_harville,M-S3,trimmed_tv,15850,0.010070900534878843,0.009129412090275294,0.010891512335978182,8,8
trio,raw_harville,M-S3,tv,15850,0.01075066232923702,0.009899219781315327,0.011824195319284483,8,8
