probability_model,tail_model,target_market,baseline_model,challenger_model,loss,n_races,n_race_dates,n_years,median_loss_reduction,mean_loss_reduction,bootstrap_median_ci_lower,bootstrap_median_ci_upper,challenger_better_race_share,years_with_positive_median,minimum_year_median_reduction,maximum_year_median_reduction
stage_temperature,prelec,exacta,M-R,M-S2,js,17341,1045,7,0.03612803424013906,0.037016994190209165,0.035620547547652155,0.036620969605677074,0.9847182976760279,7,0.030569796114802605,0.04699556565318316
stage_temperature,prelec,exacta,M-R,M-S2,log_rmse,17341,1045,7,0.5222217701500852,0.5242738410853481,0.5166259428437673,0.5270924650779034,0.9751456086730869,7,0.48512229342627,0.5722505162079304
stage_temperature,prelec,exacta,M-R,M-S2,tv,17341,1045,7,0.13051206078991975,0.12823981669772122,0.12914953379241656,0.13184918829537431,0.9852372988870307,7,0.1194670743671083,0.14965536588292433
stage_temperature,prelec,quinella,M-R,M-S2,js,17753,1045,7,0.015558219586848002,0.014243961506545147,0.015217994951558095,0.0159756387204443,0.8681349631048274,7,0.012606349843854489,0.02379701303255616
stage_temperature,prelec,quinella,M-R,M-S2,log_rmse,17753,1045,7,0.35023595464351603,0.30580346008979037,0.3455040667345658,0.355148427070896,0.9080718751760266,7,0.3232498265898837,0.4167202197055485
stage_temperature,prelec,quinella,M-R,M-S2,tv,17753,1045,7,0.0655940278626649,0.056837442084657706,0.0642250045143767,0.06724093541906363,0.8557426913761055,7,0.05191995670899495,0.09141664152529476
stage_temperature,prelec,trifecta,M-R,M-S2,js,3132,910,7,0.0394793320884136,0.03998288201788875,0.038813492228491946,0.040305540859623006,0.9862707535121328,7,0.03604170397269303,0.04508882680430882
stage_temperature,prelec,trifecta,M-R,M-S2,log_rmse,3132,910,7,0.3895391653182835,0.41294138614966214,0.3810060893361985,0.3959732773772134,0.9920178799489144,7,0.3376530504291752,0.4156152504268794
stage_temperature,prelec,trifecta,M-R,M-S2,tv,3132,910,7,0.10733210114107851,0.10779921965362493,0.10570464153860339,0.1086513773797302,0.98786717752235,7,0.09593738505737862,0.11394431527149215
stage_temperature,prelec,trifecta,M-R,M-S3,js,3132,910,7,0.05369181685314822,0.052508613461701534,0.05275172610694831,0.054502681053058936,0.9824393358876118,7,0.04995465685512224,0.05745459374801755
stage_temperature,prelec,trifecta,M-R,M-S3,log_rmse,3132,910,7,0.4947562425883221,0.47376922104281893,0.4872560268305476,0.5029669186983325,0.9696679438058748,7,0.46018392858335233,0.5199089108363
stage_temperature,prelec,trifecta,M-R,M-S3,tv,3132,910,7,0.16146036501707772,0.15607964421614584,0.15896726252575727,0.16346926300564757,0.9837164750957854,7,0.1477713576218554,0.17250155697717168
stage_temperature,prelec,trifecta,M-S2,M-S3,js,3132,910,7,0.013872211358659335,0.012525731443812771,0.013511648291113381,0.014186919877635859,0.9137931034482759,7,0.01056400507041514,0.015351895066510647
stage_temperature,prelec,trifecta,M-S2,M-S3,log_rmse,3132,910,7,0.11768702601791511,0.06082783489315671,0.11263545991860964,0.12140465327628316,0.7707535121328225,7,0.07121757000438578,0.13454406919069695
stage_temperature,prelec,trifecta,M-S2,M-S3,tv,3132,910,7,0.053442505571743765,0.04828042456252091,0.052323709805003484,0.054818581741401105,0.9179438058748404,7,0.04074037462062882,0.06097950056240113
stage_temperature,prelec,trio,M-R,M-S2,js,14854,1045,7,0.020977803070575705,0.020669542093413696,0.020716846520446794,0.021232151467600404,0.9749562407432342,7,0.019662438511016504,0.02441812645321831
stage_temperature,prelec,trio,M-R,M-S2,log_rmse,14854,1045,7,0.28211559519992213,0.3062685921761937,0.27866585578900516,0.2845842168765519,0.9881513397064764,7,0.2710851340575475,0.29914214635067915
stage_temperature,prelec,trio,M-R,M-S2,tv,14854,1045,7,0.05592514358500439,0.05457607635912381,0.055514881716786604,0.05636074985035625,0.9769085768143261,7,0.053372380035804745,0.05715780199251924
stage_temperature,prelec,trio,M-R,M-S3,js,14854,1045,7,0.039891290319901185,0.03849155288426836,0.03935115311440337,0.04049636747339861,0.958798976706611,7,0.036620544449975964,0.04988665797553193
stage_temperature,prelec,trio,M-R,M-S3,log_rmse,14854,1045,7,0.5104715824253714,0.4705455790270571,0.5041650337306927,0.5169794129131668,0.9373906018580853,7,0.48047290341567445,0.5717010897821818
stage_temperature,prelec,trio,M-R,M-S3,tv,14854,1045,7,0.12935354998534898,0.12072222448388589,0.12782773479877524,0.13073383616903078,0.9648579507203446,7,0.12182840525398009,0.1418777192505007
stage_temperature,prelec,trio,M-S2,M-S3,js,14854,1045,7,0.01847155505018773,0.017822010790854655,0.018080657102430238,0.018840504982791724,0.9169920560118486,7,0.016041453465455997,0.025008133046204053
stage_temperature,prelec,trio,M-S2,M-S3,log_rmse,14854,1045,7,0.23781305854149123,0.1642769868508635,0.23304992684081113,0.24234974106583212,0.8104887572371079,7,0.21604235936669483,0.2953750679322573
stage_temperature,prelec,trio,M-S2,M-S3,tv,14854,1045,7,0.0720825027997338,0.06614614812476208,0.07106979810641763,0.07298556847360538,0.9267537363673085,7,0.0653272804465661,0.08161612920725625
