race_id,race_date,target_market,model,tv
2016-06-10_2_06,2016-06-10,win,main,0.0759790848102
2016-06-10_2_06,2016-06-10,win,harville,9.88792381307e-17
2016-06-10_2_06,2016-06-10,exacta,main,0.0648704414583
2016-06-10_2_06,2016-06-10,exacta,harville,0.123950457235
2016-06-10_2_06,2016-06-10,quinella,main,0.0881000678004
2016-06-10_2_06,2016-06-10,quinella,harville,0.166149872986
2016-06-10_2_06,2016-06-10,trio,main,0.042754891954
2016-06-10_2_06,2016-06-10,trio,harville,0.184458520697
2016-06-10_3_08,2016-06-10,win,main,0.0427277217957
2016-06-10_3_08,2016-06-10,win,harville,5.03069808033e-17
2016-06-10_3_08,2016-06-10,exacta,main,0.0685682423966
2016-06-10_3_08,2016-06-10,exacta,harville,0.136570486236
2016-06-10_3_08,2016-06-10,quinella,main,0.0788600349789
2016-06-10_3_08,2016-06-10,quinella,harville,0.153195455839
2016-06-10_3_08,2016-06-10,trio,main,0.0600897806919
2016-06-10_3_08,2016-06-10,trio,harville,0.160473526458
2016-06-10_3_09,2016-06-10,win,main,0.0398873885525
2016-06-10_3_09,2016-06-10,win,harville,6.33174068732e-17
2016-06-10_3_09,2016-06-10,exacta,main,0.0580694342115
2016-06-10_3_09,2016-06-10,exacta,harville,0.100525066792
2016-06-10_3_09,2016-06-10,quinella,main,0.0470695933098
2016-06-10_3_09,2016-06-10,quinella,harville,0.0853278522738
2016-06-10_3_09,2016-06-10,trio,main,0.0421331345252
2016-06-10_3_09,2016-06-10,trio,harville,0.172816010152
2016-06-10_3_10,2016-06-10,win,main,0.0578846171515
2016-06-10_3_10,2016-06-10,win,harville,1.30104260698e-16
2016-06-10_3_10,2016-06-10,exacta,main,0.0359514813857
2016-06-10_3_10,2016-06-10,exacta,harville,0.159908630535
2016-06-10_3_10,2016-06-10,quinella,main,0.0450032188319
2016-06-10_3_10,2016-06-10,quinella,harville,0.158367133021
2016-06-10_3_10,2016-06-10,trio,main,0.0404407481849
2016-06-10_3_10,2016-06-10,trio,harville,0.251660841142
2016-06-11_1_03,2016-06-11,win,main,0.0428336405272
2016-06-11_1_03,2016-06-11,win,harville,6.41847686111e-17
2016-06-11_1_03,2016-06-11,exacta,main,0.0766170774412
2016-06-11_1_03,2016-06-11,exacta,harville,0.0926726612617
2016-06-11_1_03,2016-06-11,quinella,main,0.081648623023
2016-06-11_1_03,2016-06-11,quinella,harville,0.0945786636634
2016-06-11_1_03,2016-06-11,trio,main,0.0604612538922
2016-06-11_1_03,2016-06-11,trio,harville,0.152029017427
2016-06-11_1_04,2016-06-11,win,main,0.0364304926392
2016-06-11_1_04,2016-06-11,win,harville,2.77555756156e-17
2016-06-11_1_04,2016-06-11,exacta,main,0.0620856637879
2016-06-11_1_04,2016-06-11,exacta,harville,0.105154703127
2016-06-11_1_04,2016-06-11,quinella,main,0.0611164742703
2016-06-11_1_04,2016-06-11,quinella,harville,0.0995338871025
2016-06-11_1_04,2016-06-11,trio,main,0.0474402049567
2016-06-11_1_04,2016-06-11,trio,harville,0.193010445661
2016-06-11_1_06,2016-06-11,win,main,0.0331729141989
2016-06-11_1_06,2016-06-11,win,harville,9.19403442268e-17
2016-06-11_1_06,2016-06-11,exacta,main,0.0423769129611
2016-06-11_1_06,2016-06-11,exacta,harville,0.097188931754
2016-06-11_1_06,2016-06-11,quinella,main,0.0370071832159
2016-06-11_1_06,2016-06-11,quinella,harville,0.098657269031
2016-06-11_1_06,2016-06-11,trio,main,0.0349979525501
2016-06-11_1_06,2016-06-11,trio,harville,0.167407228554
2016-06-11_1_10,2016-06-11,win,main,0.07244484364
2016-06-11_1_10,2016-06-11,win,harville,3.98986399475e-17
2016-06-11_1_10,2016-06-11,exacta,main,0.0566006134698
2016-06-11_1_10,2016-06-11,exacta,harville,0.119548548852
2016-06-11_1_10,2016-06-11,quinella,main,0.0458533638176
2016-06-11_1_10,2016-06-11,quinella,harville,0.112094280538
2016-06-11_1_10,2016-06-11,trio,main,0.0398749141719
2016-06-11_1_10,2016-06-11,trio,harville,0.185084402759
2016-06-11_1_12,2016-06-11,win,main,0.088822629696
2016-06-11_1_12,2016-06-11,win,harville,4.16333634234e-17
2016-06-11_1_12,2016-06-11,exacta,main,0.0733751532844
2016-06-11_1_12,2016-06-11,exacta,harville,0.103420114143
2016-06-11_1_12,2016-06-11,quinella,main,0.0701196276823
2016-06-11_1_12,2016-06-11,quinella,harville,0.0972277724719
2016-06-11_1_12,2016-06-11,trio,main,0.0398304290714
2016-06-11_1_12,2016-06-11,trio,harville,0.169970518186
2016-06-11_2_07,2016-06-11,win,main,0.273434925984
2016-06-11_2_07,2016-06-11,win,harville,8.32667268469e-17
2016-06-11_2_07,2016-06-11,exacta,main,0.140872078738
2016-06-11_2_07,2016-06-11,exacta,harville,0.397213651005
2016-06-11_2_07,2016-06-11,quinella,main,0.171342158273
2016-06-11_2_07,2016-06-11,quinella,harville,0.383854910979
2016-06-11_2_07,2016-06-11,trio,main,0.190818224502
2016-06-11_2_07,2016-06-11,trio,harville,0.443267225192
2016-06-12_1_02,2016-06-12,win,main,0.0446926317191
2016-06-12_1_02,2016-06-12,win,harville,7.3725747729e-17
2016-06-12_1_02,2016-06-12,exacta,main,0.0573911356345
