year,target_market,model,n_races,n_race_dates,median_tv,ci_low,ci_high
2016,win,main,191,69,0.0704649967522,0.0640406992801,0.0756117815427
2016,win,harville,191,69,7.8062556419e-17,6.98226199081e-17,8.32667268469e-17
2016,exacta,main,191,69,0.058685292298,0.0560297045237,0.0613517571487
2016,exacta,harville,191,69,0.11167280093,0.106507320802,0.117418279675
2016,quinella,main,191,69,0.0634640826003,0.0605492735479,0.0667622761004
2016,quinella,harville,191,69,0.108132435018,0.0995338871025,0.11264977755
2016,trio,main,191,69,0.0474402049567,0.0450347668463,0.0500635375432
2016,trio,harville,191,69,0.158793449928,0.153188694693,0.167407228554
2017,win,main,311,120,0.0727770468559,0.0688358293141,0.0779675760599
2017,win,harville,311,120,8.67361737988e-17,8.06646416329e-17,9.19403442268e-17
2017,exacta,main,311,120,0.0573890508502,0.0544860293298,0.0601461598647
2017,exacta,harville,311,120,0.116430886899,0.111062049817,0.123993301971
2017,quinella,main,311,120,0.0638801536226,0.060562116232,0.0681825403086
2017,quinella,harville,311,120,0.114726571547,0.108441466855,0.126809352531
2017,trio,main,311,120,0.0500074147675,0.0482960282036,0.0527995562635
2017,trio,harville,311,120,0.16509756531,0.156071907198,0.174867534523
2018,win,main,436,129,0.0689910446659,0.065007610371,0.07315203507
2018,win,harville,436,129,8.50014503229e-17,7.97972798949e-17,8.84708972748e-17
2018,exacta,main,436,129,0.0551097518235,0.0541916557788,0.0570502820234
2018,exacta,harville,436,129,0.112933282874,0.107516145882,0.116175133746
2018,quinella,main,436,129,0.0638502175461,0.0617189743392,0.0663148920135
2018,quinella,harville,436,129,0.110705246109,0.106066379041,0.116462692555
2018,trio,main,436,129,0.046692360367,0.0449411540973,0.0490011542871
2018,trio,harville,436,129,0.156983754609,0.151163821625,0.164062115442
2019,win,main,275,114,0.0688717889671,0.0644201642747,0.0751277272194
2019,win,harville,275,114,9.10729824888e-17,8.50014503229e-17,9.71445146547e-17
2019,exacta,main,275,114,0.0585626859627,0.0564260838381,0.0602810074081
2019,exacta,harville,275,114,0.112710868765,0.110466080385,0.117478647792
2019,quinella,main,275,114,0.0655132852697,0.0625122149264,0.0676803834769
2019,quinella,harville,275,114,0.110458386759,0.106348358483,0.1158730259
2019,trio,main,275,114,0.0472928240989,0.0453340976038,0.0494586130076
2019,trio,harville,275,114,0.161502918422,0.155209314669,0.167034306622
2022,win,main,382,125,0.0689723854996,0.0652960298051,0.0715812141134
2022,win,harville,382,125,8.67361737988e-17,8.23993651089e-17,9.19403442268e-17
2022,exacta,main,382,125,0.0521123707014,0.0506180407537,0.0538401386993
2022,exacta,harville,382,125,0.110429040913,0.105887549926,0.113200772651
2022,quinella,main,382,125,0.0608496028048,0.0584193175273,0.0633176319986
2022,quinella,harville,382,125,0.106781862674,0.102641533677,0.109262364814
2022,trio,main,382,125,0.0382956572111,0.0369205664619,0.0394016144197
2022,trio,harville,382,125,0.149118302027,0.144357595472,0.154147979619
2023,win,main,510,136,0.0666027961263,0.0636963022158,0.0694919292605
2023,win,harville,510,136,9.36750677027e-17,9.02056207508e-17,9.71445146547e-17
2023,exacta,main,510,136,0.0537786423184,0.0521358711378,0.0549808654199
2023,exacta,harville,510,136,0.112665026634,0.109811929006,0.115019447755
2023,quinella,main,510,136,0.0627427016039,0.0606787146577,0.0652454249255
2023,quinella,harville,510,136,0.107547888703,0.105147184639,0.110473585407
2023,trio,main,510,136,0.040972926862,0.0399009764221,0.0422926560111
2023,trio,harville,510,136,0.145816994776,0.14258079982,0.1499230225
2024,win,main,651,145,0.0668720232069,0.0638411812144,0.0696023010159
2024,win,harville,651,145,9.71445146547e-17,9.36750677027e-17,1.00613961607e-16
2024,exacta,main,651,145,0.0533733849376,0.0521862702044,0.0547710505138
2024,exacta,harville,651,145,0.11133620506,0.109341501351,0.113122439328
2024,quinella,main,651,145,0.0612561312252,0.0592018587646,0.0631868047588
2024,quinella,harville,651,145,0.107098052187,0.105307332291,0.110584911101
2024,trio,main,651,145,0.0417768773583,0.0406300974842,0.0427046941183
2024,trio,harville,651,145,0.146796770678,0.141533651624,0.149960342917
2025,win,main,582,141,0.0659182356425,0.0634134501391,0.0683191598787
2025,win,harville,582,141,9.02056207508e-17,8.67361737988e-17,9.71445146547e-17
2025,exacta,main,582,141,0.0603614782002,0.0586139683627,0.0617998216589
2025,exacta,harville,582,141,0.111976648905,0.109398641329,0.114111178766
2025,quinella,main,582,141,0.0697756678094,0.0675106119627,0.0718653620068
2025,quinella,harville,582,141,0.111816054918,0.109359216513,0.114923667242
2025,trio,main,582,141,0.0484826737441,0.0472804633164,0.0498131512654
2025,trio,harville,582,141,0.14934639602,0.145822714289,0.153084017759
