target_market,u_won,n_races,observed_median_tv,observed_ci_low,observed_ci_high,expected_noise_median_tv,noise_ci_low,noise_ci_high,noise_to_observed_percent,ratio_ci_low,ratio_ci_high,break_even_u_median_won,break_even_u_ci_low,break_even_u_ci_high
exacta,1000,3338,0.0555015998124,0.0549476882178,0.0561424209476,0.00727668536705,0.00707988136674,0.00744759711442,13.1107668817,12.7773779612,13.3804130488,56368.397504,54421.8881361,57851.1274419
exacta,10000,3338,0.0555015998124,0.0549476882178,0.0561424209476,0.0230108995763,0.0223885506827,0.0235513699769,41.4598852178,40.4056168821,42.312581268,56368.397504,54421.8881361,57851.1274419
exacta,50000,3338,0.0555015998124,0.0549476882178,0.0561424209476,0.051453935676,0.0500623212442,0.0526624642315,92.7071216864,90.3497060212,94.6138080187,56368.397504,54421.8881361,57851.1274419
exacta,100000,3338,0.0555015998124,0.0549476882178,0.0561424209476,0.0727668536705,0.0707988136674,0.0744759711442,131.107668817,127.773779612,133.804130488,56368.397504,54421.8881361,57851.1274419
quinella,1000,3338,0.0636531247877,0.0628949949176,0.0646971342133,0.00402449649211,0.00393688422268,0.00410780863893,6.32254348163,6.17156630447,6.45558492622,248282.780144,240186.142553,256646.642874
quinella,10000,3338,0.0636531247877,0.0628949949176,0.0646971342133,0.0127265753504,0.012449521028,0.0129900314911,19.9936380074,19.5162062529,20.4143519955,248282.780144,240186.142553,256646.642874
quinella,50000,3338,0.0636531247877,0.0628949949176,0.0646971342133,0.0284574876044,0.027837975306,0.029046593444,44.7071337021,43.6395638443,45.6478787786,248282.780144,240186.142553,256646.642874
quinella,100000,3338,0.0636531247877,0.0628949949176,0.0646971342133,0.0402449649211,0.0393688422268,0.0410780863893,63.2254348163,61.7156630447,64.5558492622,248282.780144,240186.142553,256646.642874
trio,1000,3338,0.0443831575508,0.0436756480613,0.0449810935194,0.00604199928134,0.00587684351216,0.00619030702501,13.6132704719,13.2459894949,13.9644525293,53826.0219558,51586.2474793,55937.9980864
trio,10000,3338,0.0443831575508,0.0436756480613,0.0449810935194,0.0191064793501,0.0185842109508,0.0195754696148,43.048941095,41.8874966665,44.15947627,53826.0219558,51586.2474793,55937.9980864
trio,50000,3338,0.0443831575508,0.0436756480613,0.0449810935194,0.0427233866376,0.0415555589942,0.0437720807501,96.2603586479,93.6632899536,98.7435907904,53826.0219558,51586.2474793,55937.9980864
trio,100000,3338,0.0443831575508,0.0436756480613,0.0449810935194,0.0604199928134,0.0587684351216,0.0619030702501,136.132704719,132.459894949,139.644525293,53826.0219558,51586.2474793,55937.9980864
