race_id,race_date,target_market,observed_tv,target_turnover_won,trifecta_turnover_won,noise_base_per_sqrt_won,break_even_u_won,noise_tv_u_1000,noise_tv_u_10000,noise_tv_u_50000,noise_tv_u_100000
2016-06-10_2_06,2016-06-10,exacta,0.0648704414583,342518500,71166900,0.000312841827646,42997.5864173,0.0098929272273,0.0312841827646,0.0699535592821,0.098929272273
2016-06-10_3_08,2016-06-10,exacta,0.0685682423966,519124700,97596100,0.000215891833837,100872.690378,0.00682709923156,0.0215891833837,0.0482748816247,0.0682709923156
2016-06-10_3_09,2016-06-10,exacta,0.0580694342115,523320300,103049900,0.000225479268844,66325.7169847,0.00713028054696,0.0225479268844,0.0504186972652,0.0713028054696
2016-06-10_3_10,2016-06-10,exacta,0.0359514813857,593401100,105756200,0.000230633082875,24299.1102764,0.00729325845671,0.0230633082875,0.0515711251168,0.0729325845671
2016-06-11_1_03,2016-06-11,exacta,0.0766170774412,377843300,128593000,0.000237630399113,103955.427503,0.00751453302493,0.0237630399113,0.0531357725938,0.0751453302493
2016-06-11_1_04,2016-06-11,exacta,0.0620856637879,413525900,135291600,0.000220255776154,79456.2463654,0.00696509920454,0.0220255776154,0.0492506887917,0.0696509920454
2016-06-11_1_06,2016-06-11,exacta,0.0423769129611,583284200,180649600,0.000182369666261,53994.9851557,0.00576703521509,0.0182369666261,0.0407790970793,0.0576703521509
2016-06-11_1_10,2016-06-11,exacta,0.0566006134698,571446100,155485300,0.000269550043162,44092.3722487,0.0085239207979,0.0269550043162,0.0602732219849,0.085239207979
2016-06-11_1_12,2016-06-11,exacta,0.0733751532844,949029100,222196600,0.000143267942332,262301.030119,0.00453053013454,0.0143267942332,0.032035685805,0.0453053013454
2016-06-11_2_07,2016-06-11,exacta,0.140872078738,36027600,11308800,0.000797598414081,31194.7337218,0.0252222764663,0.0797598414081,0.178348427263,0.252222764663
2016-06-12_1_02,2016-06-12,exacta,0.0573911356345,586271900,110592100,0.000214950694712,71287.261371,0.00679733779925,0.0214950694712,0.0480644365186,0.0679733779925
2016-06-12_1_06,2016-06-12,exacta,0.0619099395721,940988800,211472800,0.000140178161598,195056.326191,0.00443282268865,0.0140178161598,0.0313447898294,0.0443282268865
2016-06-17_3_06,2016-06-17,exacta,0.035769307427,442154200,179738300,0.000208771334335,29354.8137173,0.00660192926652,0.0208771334335,0.0466826895327,0.0660192926652
2016-06-17_3_09,2016-06-17,exacta,0.042008685587,528261100,186218800,0.00018529320197,51399.5377982,0.0058594855317,0.018529320197,0.0414328195373,0.058594855317
2016-06-18_2_03,2016-06-18,exacta,0.0511620638127,467568900,225201400,0.000162891524266,98650.4647499,0.00515108228218,0.0162891524266,0.0364236521218,0.0515108228218
2016-06-18_2_04,2016-06-18,exacta,0.060167413583,434395300,223457900,0.000183408911882,107617.231914,0.00579989904719,0.0183408911882,0.0410114794647,0.0579989904719
2016-06-18_2_05,2016-06-18,exacta,0.0763118640885,491480300,240544200,0.000192696916426,156831.968829,0.00609361153996,0.0192696916426,0.0430883404182,0.0609361153996
2016-06-19_1_07,2016-06-19,exacta,0.0611709901599,725021400,277329000,0.000215756444224,80382.8626502,0.00682281783607,0.0215756444224,0.0482446075869,0.0682281783607
2016-06-19_3_05,2016-06-19,exacta,0.0382672780147,884010900,286172400,0.000126177282033,91979.8732896,0.00399007600192,0.0126177282033,0.0282140979841,0.0399007600192
2016-06-24_2_06,2016-06-24,exacta,0.056700923992,528887500,253151700,0.000167048651496,115211.100239,0.00528254218788,0.0167048651496,0.0373532140295,0.0528254218788
2016-06-25_2_04,2016-06-25,exacta,0.0595180936696,476398200,252868600,0.000182389807822,106487.073946,0.00576767214718,0.0182389807822,0.0407836008693,0.0576767214718
2016-06-25_2_06,2016-06-25,exacta,0.0444003828555,701736500,308832800,0.000128197791115,119953.340119,0.00405397010927,0.0128197791115,0.0286658975499,0.0405397010927
2016-06-25_2_07,2016-06-25,exacta,0.168724751713,38626100,15226400,0.00062863412705,72038.0066751,0.0198791565639,0.062863412705,0.140566864106,0.198791565639
2016-06-25_2_09,2016-06-25,exacta,0.168968469981,32514000,21483000,0.000690920090374,59807.5071344,0.0218488116675,0.0690920090374,0.15449442891,0.218488116675
2016-06-26_3_01,2016-06-26,exacta,0.0290957528137,843539000,367638200,0.000125794294166,53497.9710828,0.00397796486219,0.0125794294166,0.0281284592937,0.0397796486219
2016-07-01_2_01,2016-07-01,exacta,0.056857176874,411837400,205076700,0.000174812681204,105785.152386,0.00552806236487,0.0174812681204,0.0390893038502,0.0552806236487
2016-07-01_2_07,2016-07-01,exacta,0.0662842075308,530007900,256020300,0.000156675917473,178984.59101,0.00495452753711,0.0156675917473,0.0350338001907,0.0495452753711
2016-07-01_2_08,2016-07-01,exacta,0.181365604515,33421300,22795700,0.00061692909551,86424.9923687,0.0195090109664,0.061692909551,0.137949539486,0.195090109664
2016-07-01_3_09,2016-07-01,exacta,0.064363648738,577684900,266835400,0.000141794732405,206044.54321,0.00448394314614,0.0141794732405,0.0317062660509,0.0448394314614
2016-07-02_1_02,2016-07-02,exacta,0.0374753650863,724457500,308781100,0.000123405170036,92219.9824812,0.00390241412353,0.0123405170036,0.0275942348975,0.0390241412353
