n_valid_horses,n_races,capped_races,share,ci_low,ci_high
5,1,0,0,0,0
6,36,0,0,0,0
7,498,0,0,0,0
8,1517,0,0,0,0
9,2120,0,0,0,0
10,5915,15,0.00253592561285,0.00134657465073,0.00389039242219
11,4095,27,0.00659340659341,0.00415343268996,0.00929322572756
12,4700,85,0.018085106383,0.0144381600087,0.0219390116375
13,124,2,0.0161290322581,0,0.0504201680672
14,222,7,0.0315315315315,0.010989010989,0.0528301886792
15,26,1,0.0384615384615,0,0.115384615385
16,47,5,0.106382978723,0.0222222222222,0.195652173913
