target_market,dimension,panel_a_median_tv_min,panel_a_median_tv_max,panel_b_median_tv_lower_min,panel_b_median_tv_lower_max,panel_b_median_tv_upper_min,panel_b_median_tv_upper_max
exacta,year,0.0521119923954,0.0603609676418,0.0528096119356,0.0606033042198,0.0625007224554,0.078932244026
exacta,meet,0.0504139332337,0.0607658591894,0.0533779898714,0.0625336729474,0.0684486527185,0.0722396766913
exacta,n_valid_horses,0.0500279569817,0.0666201702308,0.0474996168263,0.0592506640444,0.0557134179206,0.156386988312
quinella,year,0.0608495836904,0.0697755141357,0.0587211369585,0.067353303522,0.0710578912953,0.0892455335344
quinella,meet,0.0559002047242,0.0713649266206,0.0599009567341,0.0715272971405,0.0778517963437,0.0830324665999
quinella,n_valid_horses,0.0536012037584,0.0766266652789,0.0434935647043,0.0674074192449,0.0636878006628,0.174993737148
trio,year,0.0382959054428,0.0500074555522,0.0407508337205,0.0494473875285,0.0496308536232,0.0665888486895
trio,meet,0.0389082920372,0.0492660091615,0.0420018819112,0.0518860666046,0.0563701144613,0.0595315154554
trio,n_valid_horses,0.0363096496121,0.0471349434837,0.0276261827343,0.0475071906746,0.0472472958608,0.163354519392
win,year,0.0659181336358,0.0727771584704,0.0554171843088,0.0632995952151,0.077063979771,0.0934827360159
win,meet,0.0595316417092,0.0761531710377,0.0548656309835,0.0721785434894,0.082598094114,0.0915413664564
win,n_valid_horses,0.0615967371826,0.0846576776191,0.0352280693561,0.0700518750808,0.0736994321864,0.146332227874
