target_market,dimension,n_levels,min_group_median_tv,max_group_median_tv
exacta,year,8,0.0521123707014,0.0603614782002
exacta,meet,3,0.0504140606166,0.060766354399
exacta,n_valid_horses,8,0.0500275062307,0.0666201742833
quinella,year,8,0.0608496028048,0.0697756678094
quinella,meet,3,0.0559000369032,0.0713653805163
quinella,n_valid_horses,8,0.0536007234971,0.0766265440212
trio,year,8,0.0382956572111,0.0500074147675
trio,meet,3,0.0389075577108,0.0492656237951
trio,n_valid_horses,8,0.036309584368,0.0471348205377
win,year,8,0.0659182356425,0.0727770468559
win,meet,3,0.0595316821184,0.0761532236063
win,n_valid_horses,8,0.061596768737,0.0846580261138
