panel,n_valid_horses,n_targets_with_donor,n_distinct_donors,targets_per_distinct_donor,max_targets_per_donor
A,6,36,23,1.5652173913,3
A,7,471,297,1.58585858586,4
A,8,972,608,1.59868421053,6
A,9,667,427,1.56206088993,5
A,10,1087,671,1.61997019374,5
A,11,97,59,1.64406779661,5
A,12,6,5,1.2,2
B,6,36,24,1.5,3
B,7,498,319,1.56112852665,5
B,8,1517,953,1.59181532004,6
B,9,2120,1335,1.58801498127,5
B,10,5915,3728,1.5866416309,8
B,11,4095,2590,1.58108108108,6
B,12,4700,2956,1.5899864682,6
B,13,124,79,1.56962025316,4
B,14,222,136,1.63235294118,4
B,15,26,16,1.625,5
B,16,47,33,1.42424242424,4
