panel,target_market,benchmark,n_races,median_improvement_lower,ci_low,ci_high,main_better
A,win,harville,3338,-0.0678601097491,-0.0691240864097,-0.0666471635479,False
A,win,permutation,3338,0.265795542991,0.261770468449,0.268816057466,True
A,win,other_race,3336,0.390691110139,0.386165612265,0.396329577265,True
A,win,uniform,3338,0.257129790716,0.253644564572,0.260963787543,True
A,exacta,harville,3338,0.0572785168455,0.0562640446512,0.0585771117015,True
A,exacta,permutation,3338,0.421478990164,0.416298566634,0.425119117836,True
A,exacta,other_race,3336,0.524817857456,0.519744841532,0.529955437662,True
A,exacta,uniform,3338,0.376076033498,0.373094496477,0.37999630122,True
A,quinella,harville,3338,0.0463847476249,0.0453100243683,0.047744974597,True
A,quinella,permutation,3338,0.369123951573,0.364423128929,0.372687300653,True
A,quinella,other_race,3336,0.495750166302,0.489722187487,0.500213691884,True
A,quinella,uniform,3338,0.344870698911,0.34089341832,0.34824419825,True
A,trio,harville,3338,0.107681973191,0.106149698239,0.109516280768,True
A,trio,permutation,3338,0.446483753131,0.443780073958,0.449617462253,True
A,trio,other_race,3336,0.552650678549,0.547687586939,0.556915129785,True
A,trio,uniform,3338,0.399355087601,0.396391577243,0.401821497001,True
