panel,target_market,benchmark,n_races,median_improvement_lower,ci_low,ci_high,main_better,share_races_robust_main_better
B,win,harville,15963,-0.0882019433296,-0.088765273426,-0.0876489820386,False,0
B,win,permutation,15963,0.339007813883,0.336930804161,0.341095958046,True,0.999248261605
B,win,other_race,15963,0.489390127102,0.486276647118,0.492250811642,True,0.999436196204
B,win,uniform,15963,0.336531310065,0.334418976019,0.338326320913,True,0.999310906471
B,exacta,harville,15963,0.048554786949,0.0480709447946,0.0491123514647,True,0.973062707511
B,exacta,permutation,15963,0.527249326031,0.52541111235,0.528983422253,True,1
B,exacta,other_race,15963,0.637580779713,0.635686543773,0.639424013879,True,1
B,exacta,uniform,15963,0.481929818676,0.480407089637,0.483388033551,True,1
B,quinella,harville,15963,0.0344880975933,0.0337743929462,0.0350846605043,True,0.857858798471
B,quinella,permutation,15963,0.468209541714,0.46654941105,0.469949586394,True,1
B,quinella,other_race,15963,0.604092947427,0.602181573865,0.606440393911,True,1
B,quinella,uniform,15963,0.440637682708,0.439078225873,0.442241060494,True,1
B,trio,harville,15963,0.106290959019,0.105462633034,0.107070184718,True,0.998183298879
B,trio,permutation,15963,0.571564193133,0.570093096365,0.573144162053,True,1
B,trio,other_race,15963,0.671825976724,0.670001875903,0.673776528121,True,1
B,trio,uniform,15963,0.51053751618,0.509186741316,0.512045273889,True,1
