panel,target_market,model,n_races,median_tv_lower,median_tv_lower_ci_low,median_tv_lower_ci_high,median_tv_upper_outer,median_tv_upper_outer_ci_low,median_tv_upper_outer_ci_high
B,exacta,harville,15963,0.12126641829,0.120790947899,0.121780341472,0.12565192453,0.125221861184,0.126185148679
B,exacta,main,15963,0.0572009131479,0.0569659185404,0.0574280301755,0.0727182767252,0.0723851850866,0.0730235420486
B,exacta,other_race,15963,0.713036019098,0.711026065946,0.7150757171,0.730299610285,0.728083214015,0.732507324704
B,exacta,permutation,15963,0.603070265124,0.600736035898,0.605017666852,0.61878853545,0.61653414679,0.62090772614
B,exacta,uniform,15963,0.557810268413,0.556122862097,0.559661305559,0.561273484138,0.55929887315,0.563245409818
B,quinella,harville,15963,0.117518482062,0.116763264609,0.11820122117,0.124591998364,0.123908143571,0.125296680238
B,quinella,main,15963,0.0643477325771,0.0639654039228,0.0646176789692,0.0831562654427,0.0827353690873,0.0835062429856
B,quinella,other_race,15963,0.688278176027,0.686192400153,0.690322258123,0.707429787012,0.705228808787,0.709571784243
B,quinella,permutation,15963,0.552730308202,0.551005056046,0.554477414006,0.57017058824,0.568104971278,0.571960389766
B,quinella,uniform,15963,0.525373880858,0.524022679411,0.526880624263,0.531215584699,0.529685877542,0.532798820252
B,trio,harville,15963,0.167600241287,0.166720892915,0.168440712975,0.171569825994,0.170655942632,0.172442891204
B,trio,main,15963,0.0458180416956,0.0456254168906,0.045988199304,0.0606135684422,0.0602788136305,0.0608981952959
B,trio,other_race,15963,0.734997285273,0.732911742113,0.737066872041,0.751328074046,0.74898083597,0.753315775544
B,trio,permutation,15963,0.635145577604,0.633700297305,0.636883697742,0.649428712273,0.647365692113,0.651335941755
B,trio,uniform,15963,0.574209189522,0.57263071386,0.575710517807,0.577197347789,0.575770258914,0.578739081424
B,win,harville,15963,0,0,0,0.00948308280356,0.00944936139775,0.00951452064391
B,win,main,15963,0.0598852832306,0.059351550716,0.0604527715126,0.0882019433296,0.0876490761467,0.0887429744863
B,win,other_race,15963,0.580239179518,0.577553557304,0.583027705981,0.606145058253,0.603064575278,0.609052145604
B,win,permutation,15963,0.430359507371,0.428635162347,0.432007361875,0.455745758832,0.453495674,0.45775652517
B,win,uniform,15963,0.426751616446,0.425325741249,0.428345732329,0.44000803581,0.438404340816,0.441996131992
