panel,target_market,benchmark,n_races,median_improvement_lower,ci_low,ci_high,main_better,share_races_robust_main_better
B,win,harville,19284,-0.0862196968504,-0.0867519263781,-0.0857173717647,False,0
B,win,permutation,19284,0.324623464017,0.322996209778,0.326523686845,True,0.998599875544
B,win,other_race,19283,0.478201713329,0.475572155536,0.480831430326,True,0.999118394441
B,win,uniform,19284,0.321314223374,0.320053693227,0.322644275676,True,0.998340593238
B,exacta,harville,19284,0.0493765512457,0.0489125345924,0.0498895577718,True,0.976457166563
B,exacta,permutation,19284,0.510605583657,0.508901824801,0.512704752003,True,1
B,exacta,other_race,19283,0.626277164235,0.624201317939,0.628466491987,True,1
B,exacta,uniform,19284,0.466064771245,0.464558348187,0.467552519408,True,1
B,quinella,harville,19284,0.035256604354,0.034760982114,0.0359312479513,True,0.868180875337
B,quinella,permutation,19284,0.452607188253,0.450799982195,0.454388996186,True,1
B,quinella,other_race,19283,0.592597783801,0.590637696868,0.594542964436,True,1
B,quinella,uniform,19284,0.425410920527,0.424015055049,0.426970906153,True,1
B,trio,harville,19284,0.10567068903,0.104946275199,0.106443984009,True,0.998444306161
B,trio,permutation,19284,0.553736223905,0.551903392104,0.555030546332,True,1
B,trio,other_race,19283,0.658866925691,0.65720862798,0.660697199906,True,1
B,trio,uniform,19284,0.494309064045,0.492938447336,0.495484224817,True,1
