panel,target_market,model,n_races,median_tv_lower,median_tv_lower_ci_low,median_tv_lower_ci_high,median_tv_upper_outer,median_tv_upper_outer_ci_low,median_tv_upper_outer_ci_high
B,exacta,harville,19284,0.119454852673,0.118982132229,0.119899011426,0.123906656921,0.123413803369,0.124375147332
B,exacta,main,19284,0.0567003798907,0.0564764672901,0.0569280880383,0.0703034351954,0.0700208973134,0.0705843069478
B,exacta,other_race,19283,0.701170534545,0.699320345939,0.703380960852,0.71609665003,0.714015931497,0.718680747282
B,exacta,permutation,19284,0.584930618744,0.583138745771,0.587076230263,0.598541072861,0.596513646096,0.600455278309
B,exacta,uniform,19284,0.539533922882,0.537968776328,0.54095811592,0.54277947014,0.541088953367,0.544595608494
B,quinella,harville,19284,0.115497571584,0.114810597329,0.116135171353,0.122581897383,0.12192755829,0.123158631276
B,quinella,main,19284,0.0638177117105,0.0635269079761,0.0640978176185,0.0809308096215,0.0805493260961,0.0812187022887
B,quinella,other_race,19283,0.676552475089,0.674449279448,0.678757559585,0.693728650019,0.69159952246,0.696141809157
B,quinella,permutation,19284,0.535606790056,0.533782356117,0.537348503567,0.551257921171,0.548983149075,0.55323804345
B,quinella,uniform,19284,0.508332755696,0.506632911187,0.510087804857,0.514173021825,0.512338925502,0.515899208606
B,trio,harville,19284,0.164726176272,0.164050485407,0.165510446855,0.168712822576,0.167982155772,0.169463484946
B,trio,main,19284,0.0453550464015,0.045190715442,0.0455232571671,0.0583058908974,0.058065288463,0.0585957243364
B,trio,other_race,19283,0.72151549737,0.719552698253,0.723340192383,0.735909783183,0.734015370078,0.738192064437
B,trio,permutation,19284,0.615299947487,0.613466455035,0.617119953169,0.627021556065,0.62510641114,0.629182457472
B,trio,uniform,19284,0.555557685986,0.553655692903,0.557178079695,0.558482409692,0.556706039044,0.560386861221
B,win,harville,19284,0,0,0,0.00941706468395,0.00938974371682,0.00944236313487
B,win,main,19284,0.0602662805297,0.0597746014065,0.0607464480139,0.0862196968504,0.0857181049615,0.0867841268246
B,win,other_race,19283,0.569390004995,0.567281989468,0.571547379348,0.593295201383,0.590765408149,0.595673818332
B,win,permutation,19284,0.414258208204,0.412315055393,0.415951835675,0.436793802273,0.435028483218,0.438991516734
B,win,uniform,19284,0.410785219436,0.409129881745,0.412437564389,0.424051426742,0.422577787966,0.425787214404
