sample_group,dimension,level,n_races,share
capped,year,2016,1348,0.0844452797093
capped,year,2017,2404,0.150598258473
capped,year,2018,2267,0.142015911796
capped,year,2019,2398,0.150222389275
capped,year,2022,1974,0.123660965984
capped,year,2023,1925,0.120591367537
capped,year,2024,1803,0.112948693855
capped,year,2025,1844,0.115517133371
clean,year,2016,191,0.057219892151
clean,year,2017,311,0.0931695626123
clean,year,2018,436,0.13061713601
clean,year,2019,275,0.0823846614739
clean,year,2022,382,0.114439784302
clean,year,2023,510,0.152786099461
clean,year,2024,651,0.195026962253
clean,year,2025,582,0.174355901738
capped,meet,1,6965,0.436321493454
capped,meet,2,4008,0.251080623943
capped,meet,3,4990,0.312597882604
clean,meet,1,1048,0.313960455362
clean,meet,2,1699,0.508987417615
clean,meet,3,591,0.177052127022
capped,n_valid_horses,7,27,0.00169141138884
capped,n_valid_horses,8,545,0.034141452108
capped,n_valid_horses,9,1453,0.0910229906659
capped,n_valid_horses,10,4828,0.302449414271
capped,n_valid_horses,11,3998,0.25045417528
capped,n_valid_horses,12,4694,0.294055002193
capped,n_valid_horses,13,123,0.00770531854914
capped,n_valid_horses,14,222,0.0139071603082
capped,n_valid_horses,15,26,0.00162876652258
capped,n_valid_horses,16,47,0.0029443087139
clean,n_valid_horses,5,1,0.000299580587178
clean,n_valid_horses,6,36,0.0107849011384
clean,n_valid_horses,7,471,0.141102456561
clean,n_valid_horses,8,972,0.291192330737
clean,n_valid_horses,9,667,0.199820251648
clean,n_valid_horses,10,1087,0.325644098262
clean,n_valid_horses,11,97,0.0290593169563
clean,n_valid_horses,12,6,0.00179748352307
clean,n_valid_horses,13,1,0.000299580587178
