validation_year,probability_model,stage,n_races,mean_log_loss,mean_brier,ece_10
2017,harville,1,2715,1.757964443264044,0.7531088140579086,0.00429310448651877
2017,harville,2,2715,1.8810096084175656,0.8032484179284133,0.01636797764838529
2017,harville,3,2715,1.9642123407034282,0.8353980583798559,0.03280728956681498
2017,stage_temperature,1,2715,1.757964443264044,0.7531088140579086,0.00429310448651877
2017,stage_temperature,2,2715,1.8581146824189743,0.79727775991374,0.004948664852022373
2017,stage_temperature,3,2715,1.8836346919026483,0.8147863671025347,0.005057026329203965
2018,harville,1,2686,1.7505110088464797,0.7523357269600389,0.003649904796891159
2018,harville,2,2686,1.9186022450491214,0.8188027200596006,0.019838126444201087
2018,harville,3,2686,1.9663312115207234,0.845096230015507,0.0350420072640928
2018,stage_temperature,1,2686,1.7505110088464797,0.7523357269600389,0.003649904796891159
2018,stage_temperature,2,2686,1.8926870912015799,0.8101471660178804,0.0066438137363873054
2018,stage_temperature,3,2686,1.892356549733016,0.8210214805610749,0.006849333581169971
2019,harville,1,2673,1.7270096203079683,0.7404247932720379,0.004658809238639772
2019,harville,2,2673,1.9586555059233322,0.8223437677991222,0.020652432873151154
2019,harville,3,2673,2.0220830596871524,0.8487872985753233,0.03712275455875162
2019,stage_temperature,1,2673,1.7270096203079683,0.7404247932720379,0.004658809238639772
2019,stage_temperature,2,2673,1.9190658105032397,0.8114671977375254,0.003783501002102484
2019,stage_temperature,3,2673,1.9231862056616598,0.8232327123765225,0.0072063082619462275
2022,harville,1,2356,1.7891502070877245,0.7647156440744857,0.002742683351753628
2022,harville,2,2356,1.9873776711021571,0.8304148551769984,0.021376485175806332
2022,harville,3,2356,2.0256045312491118,0.8558207359571562,0.03471350929084141
2022,stage_temperature,1,2356,1.7891502070877245,0.7647156440744857,0.002742683351753628
2022,stage_temperature,2,2356,1.9472189217374303,0.8188514103069315,0.004401005237916124
2022,stage_temperature,3,2356,1.9346910296779547,0.8285779268418079,0.0036639182858119144
2023,harville,1,2435,1.840334697054443,0.7809401793584112,0.00334248773503781
2023,harville,2,2435,1.959727588803541,0.8288901376557672,0.01870887211806974
2023,harville,3,2435,1.9522247350352626,0.8353982574155012,0.027905972967439102
2023,stage_temperature,1,2435,1.840334697054443,0.7809401793584112,0.00334248773503781
2023,stage_temperature,2,2435,1.935726983913727,0.8200757950174727,0.0034317103745434606
2023,stage_temperature,3,2435,1.905745162960145,0.8216654993081602,0.006526410865382625
2024,harville,1,2454,1.8330881818247269,0.7791059501318561,0.0045765974431099445
2024,harville,2,2454,1.9399902944028826,0.8241796750176421,0.018049282658031934
2024,harville,3,2454,1.9613038348714107,0.8482737712891202,0.031858909754454566
2024,stage_temperature,1,2454,1.8330881818247269,0.7791059501318561,0.0045765974431099445
2024,stage_temperature,2,2454,1.9213167684605785,0.817204233385766,0.003773701641403991
2024,stage_temperature,3,2454,1.909036547322872,0.8277440013969373,0.006905758603010496
2025,harville,1,2426,1.7826490862311064,0.7640041993991754,0.004757119703947449
2025,harville,2,2426,1.965024856590707,0.8328646329548683,0.02187449246497991
2025,harville,3,2426,1.9692390030521183,0.8462092951037732,0.03302989486501273
2025,stage_temperature,1,2426,1.7826490862311064,0.7640041993991754,0.004757119703947449
2025,stage_temperature,2,2426,1.9362859680594644,0.8222136300640759,0.0045516514086757255
2025,stage_temperature,3,2426,1.9093315327925588,0.8251184749698548,0.00559111003453697
