target_market,stage_order,stage,count_type,n_races,n_excluded_at_stage
win,1,candidate_races,sequential_remaining,19301,0
win,2,date_scope,sequential_remaining,19301,0
win,3,valid_horses,sequential_remaining,19301,0
win,4,trifecta_complete_support,sequential_remaining,19301,0
win,5,trifecta_positive_finite_odds,sequential_remaining,19301,0
win,6,win_complete_support,sequential_remaining,19301,0
win,7,win_positive_finite_odds,sequential_remaining,19301,0
win,8,clean_uncapped_point_sample,subset_of_complete,3338,15963
win,9,capped_interval_sample,subset_of_complete,15963,0
exacta,1,candidate_races,sequential_remaining,19301,0
exacta,2,date_scope,sequential_remaining,19301,0
exacta,3,valid_horses,sequential_remaining,19301,0
exacta,4,trifecta_complete_support,sequential_remaining,19301,0
exacta,5,trifecta_positive_finite_odds,sequential_remaining,19301,0
exacta,6,exacta_complete_support,sequential_remaining,19301,0
exacta,7,exacta_positive_finite_odds,sequential_remaining,19301,0
exacta,8,clean_uncapped_point_sample,subset_of_complete,3338,15963
exacta,9,capped_interval_sample,subset_of_complete,15963,0
quinella,1,candidate_races,sequential_remaining,19301,0
quinella,2,date_scope,sequential_remaining,19301,0
quinella,3,valid_horses,sequential_remaining,19301,0
quinella,4,trifecta_complete_support,sequential_remaining,19301,0
quinella,5,trifecta_positive_finite_odds,sequential_remaining,19301,0
quinella,6,quinella_complete_support,sequential_remaining,19301,0
quinella,7,quinella_positive_finite_odds,sequential_remaining,19301,0
quinella,8,clean_uncapped_point_sample,subset_of_complete,3338,15963
quinella,9,capped_interval_sample,subset_of_complete,15963,0
trio,1,candidate_races,sequential_remaining,19301,0
trio,2,date_scope,sequential_remaining,19301,0
trio,3,valid_horses,sequential_remaining,19301,0
trio,4,trifecta_complete_support,sequential_remaining,19301,0
trio,5,trifecta_positive_finite_odds,sequential_remaining,19301,0
trio,6,trio_complete_support,sequential_remaining,19301,0
trio,7,trio_positive_finite_odds,sequential_remaining,19301,0
trio,8,clean_uncapped_point_sample,subset_of_complete,3338,15963
trio,9,capped_interval_sample,subset_of_complete,15963,0
